SKU,APORTE,FECHA_INICIO,FECHA_FIN,DEPTO,DPC/WEB,DESCRIPCION,P. TMP,P. AON,%APORTE,DEPARTAMENTO
 ,150,1/5/2021,1/18/21,D136,AON,RT29K500JS8PE,1349,1199,0.111193477,LINEA BLANCA
12108986,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,LAV SAMS BIANCO 14.5KG WA-1DXPS SILVER,1585,1435,0.094637224,LINEA BLANCA
12138812,100,1/2/2021,1/5/2021,D136,S/100 DSCTO EN LINEA BLANCA DESDE 1299 CON TR,REFR FRS-U22 SILVER DAEWOO,1399,1299,0.071479628,LINEA BLANCA
12139689,12.3556,1/1/2021,1/31/2021,D122,20% DESDE PRECIO MASTER EN PEDS CON TR,IMACO,123.5555556,111.2,0.1,ELECTRODOMESTICOS
12142767,120.356,1/1/2021,1/31/2021,D122,20% DESDE PRECIO MASTER EN PEDS CON TR,IMACO,1203.555556,1083.2,0.1,ELECTRODOMESTICOS
12146523,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,REFRI SXS LG GC-P217WTQ/K 27 CU TITANUM,1499,1349,0.100066711,LINEA BLANCA
12146524,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,REFRI SXS LG GCL217WTQ/K 21CU,3199,3049,0.046889653,LINEA BLANCA
12149449,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,COCINA GALICIA QUARZO + CAM CEI-902CRP INDURAMA,1899,1749,0.078988942,LINEA BLANCA
12149588,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,COCINA MILAN SPAZIO 3+CEI-60 CR INDURAMA,1499,1349,0.100066711,LINEA BLANCA
12160399,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,REF LG BOLIVAR GM-501ULY 500 LITROS,1799,1649,0.083379655,LINEA BLANCA
12163782,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,LAV/SEC SAM VENUS AIRDRY WD-8122C+VINERA,2599,2449,0.057714506,LINEA BLANCA
12174234,8.8,1/1/2021,1/31/2021,D200,20% DESDE PRECIO MASTER EN CP CON TR,LACIADOR DE CABELLO PHILIPS HP4686,88,79.2,0.1,CUIDADO PERSONAL
12209028,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,LAVADORA 15 KG. DWF-300FR DAEWOO,1499,1349,0.100066711,LINEA BLANCA
12218703,3.54667,1/1/2021,1/31/2021,D122,20% DESDE PRECIO MASTER EN PEDS CON TR,IMACO,35.46666667,31.92,0.1,ELECTRODOMESTICOS
12218706,6.21333,1/1/2021,1/31/2021,D122,20% DESDE PRECIO MASTER EN PEDS CON TR,IMACO,62.13333333,55.92,0.1,ELECTRODOMESTICOS
12218710,31.1022,1/1/2021,1/31/2021,D122,20% DESDE PRECIO MASTER EN PEDS CON TR,IMACO,311.0222222,279.92,0.1,ELECTRODOMESTICOS
12252942,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,REF GE SBS 687LT GSML3KEXFGS CLEAN STEEL - CAVA 16,4999,4849,0.030006001,LINEA BLANCA
12252950,9.76889,1/1/2021,1/31/2021,D122,20% DESDE PRECIO MASTER EN PEDS CON TR,IMACO,97.68888889,87.92,0.1,ELECTRODOMESTICOS
12254070,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,TROMM 9.0 WD-9003TD + MS0744,1999,1849,0.075037519,LINEA BLANCA
12320695,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,REFRI LG S BY S GC-P217WTK + 32LH30 H.B,5999,5849,0.025004167,LINEA BLANCA
12336897,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,REF SAM RS-A1JTP 566LT SILVER AGUA/HIELO,3627,3477,0.041356493,LINEA BLANCA
12345134,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,LAV/SEC SAM 12K/7K VENUS AIRDRY WD-8122C,3999,3849,0.037509377,LINEA BLANCA
12369149,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,REFRIG DAEWOO FRS-T20FAM SBS HOME BAR,5999,5849,0.025004167,LINEA BLANCA
12383579,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,REF S BY S LG BLANCA GC-L217WVK/Q DISP.,2749,2599,0.054565296,LINEA BLANCA
12395104,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,DESCONT COC 30 MABE DOBLE HORNO SERIE950MSPI0 INOX,3899,3749,0.038471403,LINEA BLANCA
12396279,100,1/2/2021,1/5/2021,D136,S/100 DSCTO EN LINEA BLANCA DESDE 1299 CON TR,COCINA MABE SERIE 700MSPI0,1299,1199,0.076982294,LINEA BLANCA
12406911,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,SIDE BY SIDE DAEWOO FRS-U23 604LTS-DISPENSADOR A,3499,3349,0.042869391,LINEA BLANCA
12413446,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,REFRIGERADORA RI-585 QUARZO BL,1949,1799,0.076962545,LINEA BLANCA
